,created_by_id,data_type,date_created,entry,journal_id,rating,title
0,1,Test,2019-01-03 14:02:00.327920+00:00,"So this is my first journal entry, time to try out the sub-entries! 

#i Build an app where we can quickly store my ideas #/i
#d Don't stay up after 10:00pm #/d
#p Don't pick fights with people that have nothing to lose #/p
#a A moment in the mind is worth nine in the fire #/a",1,10,My first journal !
1,1,Test,2019-01-03 14:02:00.330673+00:00,Test,2,5,Hello
2,1,Test,2019-01-03 14:02:00.331492+00:00,sadsad,3,5,Test
3,1,Test,2019-01-03 14:02:00.332248+00:00,tets,4,5,test
4,1,Test,2019-01-03 14:02:00.332955+00:00,tets,5,5,test
5,1,Test,2019-01-03 14:02:00.333654+00:00,tets,6,5,test
6,1,Test,2019-01-03 14:02:00.334362+00:00,tets,7,5,test
7,1,Test,2019-01-03 14:02:00.335098+00:00,tets,8,5,test
8,1,Test,2019-01-03 14:02:00.335827+00:00,tets,9,5,test
9,1,Test,2019-01-03 14:02:00.336648+00:00,sadas,10,5,My first Journal
10,1,Test,2019-01-03 14:02:00.337370+00:00,sadsa,11,5,Test
11,1,Test,2019-01-03 14:02:00.338043+00:00,asdasd,12,5,Test
12,1,Test,2019-01-03 14:02:00.343874+00:00,test,13,5,My first Journal
13,1,Test,2019-01-03 14:02:00.344798+00:00,"#i I have a great new idea i#

that I'll tell you about later",14,5,Hello
14,1,Test,2019-01-03 14:02:00.354524+00:00,"Hi I'm not creating my journal entry

let's see how it goes

#p Here's a principle idea p#
#i Now here's an idea i#",15,5,Test
15,1,Test,2019-01-03 14:02:00.358519+00:00,entery,16,10,Demo
16,1,Test,2019-01-03 14:02:00.359209+00:00,dasdas,17,5,Test
17,1,Test,2019-01-03 14:02:00.359874+00:00,"#i Wow this is really interesting i#
#p I can add all sorts of tagsp#
#a And we ca see how they work a#

So ?",18,8,Hi Edward
18,1,Test,2019-01-03 14:02:00.383548+00:00,asdasdasd,19,5,dasdsad
19,1,Test,2019-01-03 14:02:00.384312+00:00,#i Here's the first idea i#,20,5,First Idea
20,1,Test,2019-01-03 14:02:00.390862+00:00,"#i Testing a brand new idea to see how it works andddddddddddddddddddddddddddddddddddd
i#

Making sure it scales correctly",21,5,Test
